Name of the hotel,City,Budget for 1 day and night,Rating of the hotel
Regency Gardens,Delhi,5298,3.5
Regency Lounge,Delhi,7709,3.0
Bay Inn,Delhi,7261,3.9
Suites Heights,Delhi,4144,3.8
Plaza Palace,Delhi,4917,4.2
Hotel Palace,Delhi,12545,3.7
Regency Suites,Delhi,933,2.6
Palace Lounge,Mumbai,14035,4.7
Plaza Retreat,Mumbai,11224,3.4
Hotel Heights,Mumbai,4120,4.1
Resort Inn,Mumbai,6334,3.0
Bay Residency,Mumbai,12098,3.1
Royal Suites,Mumbai,4789,4.8
Resort Palace,Chennai,5744,2.6
Bay Retreat,Chennai,12947,4.9
Suites Oasis,Chennai,2668,2.8
Grand Lounge,Chennai,4215,2.6
Palace Oasis,Chennai,937,3.7
Grand Retreat,Chennai,5746,4.9
Suites Retreat,Chennai,8257,2.7
Resort Gardens,Kolkata,11900,3.8
Royal Suites,Kolkata,6414,4.5
Heights Inn,Kolkata,10608,3.5
Plaza Heights,Kolkata,8213,3.2
Royal Residency,Kolkata,5198,2.5
Resort Gardens,Kolkata,8444,4.0
Palace Suites,Bengaluru,10925,3.5
Heights Gardens,Bengaluru,8356,3.7
Inn Lounge,Bengaluru,2629,4.1
Grand Gardens,Bengaluru,7797,4.0
Suites Gardens,Bengaluru,5100,2.7
Grand Suites,Bengaluru,10022,5.0
Suites Lounge,Bengaluru,12348,4.2
Palace Retreat,Bengaluru,14187,3.8
Royal Lounge,Bengaluru,7228,3.1
Royal Palace,Hyderabad,1219,3.2
Plaza Residency,Hyderabad,7422,2.6
Royal Palace,Hyderabad,6810,3.7
Inn Residency,Hyderabad,5128,3.6
Heights Retreat,Hyderabad,11676,3.2
Hotel Palace,Hyderabad,9764,4.2
Palace Oasis,Hyderabad,931,3.4
Suites Residency,Hyderabad,5511,4.8
Regency Retreat,Hyderabad,13971,4.6
Inn Retreat,Pune,8130,4.9
Inn Suites,Pune,5481,2.9
Plaza Palace,Pune,14802,3.4
Plaza Oasis,Pune,7536,4.9
Inn Inn,Pune,6398,4.3
Regency Residency,Pune,1762,4.7
Hotel Lounge,Pune,2795,3.2
Grand Suites,Pune,14503,3.4
Inn Inn,Pune,9178,3.8
Resort Heights,Ahmedabad,14125,3.0
Resort Lounge,Ahmedabad,1587,4.4
Inn Retreat,Ahmedabad,4651,2.9
Plaza Palace,Ahmedabad,4280,2.6
Resort Retreat,Ahmedabad,8524,3.6
Palace Oasis,Ahmedabad,10011,4.2
Plaza Palace,Ahmedabad,10948,3.4
Hotel Oasis,Ahmedabad,8844,2.9
Bay Heights,Ahmedabad,3601,2.5
Royal Inn,Ahmedabad,9617,3.7
Royal Lounge,Jaipur,5324,4.7
Heights Inn,Jaipur,4713,2.8
Regency Suites,Jaipur,9519,4.0
Royal Heights,Jaipur,9484,2.6
Inn Retreat,Jaipur,14241,3.5
Grand Suites,Jaipur,4789,2.8
Grand Palace,Jaipur,4981,3.7
Regency Oasis,Jaipur,11012,4.2
Palace Palace,Lucknow,13608,2.9
Bay Lounge,Lucknow,13338,3.7
Inn Inn,Lucknow,5818,3.0
Palace Lounge,Lucknow,10614,3.1
Plaza Heights,Lucknow,13823,3.1
Resort Retreat,Lucknow,8832,2.7
Suites Heights,Delhi,3193,4.6
Regency Vista,Delhi,11495,3.0
Inn Suites,Delhi,1740,3.9
Plaza Palace,Delhi,4075,4.0
Hotel Palace,Delhi,6903,4.3
Heights Vista,Delhi,3778,3.0
Grand Suites,Delhi,2278,4.5
Inn Oasis,Mumbai,7278,3.8
Bay Inn,Mumbai,2800,3.8
Regency Inn,Mumbai,13839,4.8
Heights Residency,Mumbai,3565,4.4
Bay Vista,Mumbai,1801,3.1
Resort Lounge,Mumbai,8205,3.1
Inn Heights,Chennai,12205,4.9
Regency Inn,Chennai,13123,2.8
Resort Oasis,Chennai,3881,4.5
Grand Palace,Chennai,11475,4.5
Bay Lounge,Chennai,12867,3.1
Hotel Oasis,Chennai,9478,3.0
Suites Gardens,Chennai,12776,4.4
Inn Oasis,Kolkata,1086,4.6
Heights Inn,Kolkata,6665,3.5
Inn Inn,Kolkata,2415,2.8
Hotel Suites,Kolkata,14125,4.3
Plaza Heights,Kolkata,1497,4.2
