Hotel Name,City,Budget for 1 day and night (INR),Google Maps Rating
Plaza Retreat,Delhi,4205,4.2
The Retreat,Delhi,2418,3.9
Inn Grill,Delhi,6106,4.1
Bistro Grill,Delhi,5130,3.2
Royal Hub,Delhi,832,4.1
Garden Spice,Delhi,5194,4.9
The Paradise,Delhi,2936,2.6
Cafe Corner,Delhi,4924,2.5
Bistro Heaven,Delhi,2848,4.9
Royal Oasis,Delhi,5620,4.6
Inn Oasis,Mumbai,918,4.0
Bistro Delight,Mumbai,3656,2.8
Royal Delight,Mumbai,4212,4.1
Inn Heaven,Mumbai,6130,2.8
Hotel Spice,Mumbai,3933,2.8
Palace Heaven,Mumbai,2105,4.2
Cafe Hub,Mumbai,5235,3.6
Lounge Delight,Mumbai,3601,2.7
Palace Paradise,Mumbai,2363,3.4
Plaza Corner,Mumbai,1464,3.5
Plaza Heaven,Chennai,5703,5.0
The Corner,Chennai,6854,4.5
Lounge Spice,Chennai,3661,3.0
Plaza Hub,Chennai,6881,3.4
Garden Hub,Chennai,945,4.2
Palace Oasis,Chennai,5258,2.5
Bistro Grill,Chennai,1725,2.9
Lounge Hub,Kolkata,3825,4.6
Royal Grill,Kolkata,3954,3.4
Resort Delight,Kolkata,4349,4.9
Garden Corner,Kolkata,4277,4.4
Hotel Grill,Kolkata,5090,3.7
Plaza Grill,Kolkata,1451,2.7
Palace Retreat,Kolkata,4616,4.7
Inn Terrace,Bengaluru,5111,3.2
Cafe Corner,Bengaluru,4317,3.8
Garden Paradise,Bengaluru,2814,3.5
Lounge Grill,Bengaluru,2458,4.4
Plaza Spice,Bengaluru,1740,2.9
Inn Grill,Bengaluru,5107,2.6
Lounge Oasis,Bengaluru,5361,3.4
Inn Hub,Bengaluru,2094,4.2
Resort Corner,Hyderabad,6774,4.8
Palace Terrace,Hyderabad,1785,2.7
Plaza Hub,Hyderabad,6320,2.9
Inn Delight,Hyderabad,5819,3.3
Cafe Paradise,Hyderabad,3608,3.8
Palace Delight,Hyderabad,6658,2.9
Inn Oasis,Hyderabad,1287,4.6
Lounge Spice,Hyderabad,4542,4.4
Inn Heaven,Hyderabad,2440,3.4
Palace Heaven,Hyderabad,3903,4.8
The Terrace,Pune,4206,4.3
Hotel Spice,Pune,6705,4.5
Inn Delight,Pune,3051,5.0
Palace Oasis,Pune,5915,3.5
Resort Delight,Pune,2110,3.0
Bistro Corner,Pune,2107,3.1
Resort Paradise,Pune,4872,3.1
Resort Spice,Pune,2849,2.9
Royal Spice,Pune,961,4.3
Resort Retreat,Pune,4033,3.8
Garden Hub,Ahmedabad,2480,4.2
Bistro Retreat,Ahmedabad,4043,3.1
Resort Corner,Ahmedabad,2790,4.1
The Heaven,Ahmedabad,1970,3.8
Palace Grill,Ahmedabad,5406,4.5
Resort Spice,Ahmedabad,6561,3.4
Lounge Spice,Ahmedabad,1448,4.6
